# corpus-census-rust.tsv — the PINNED rust census roster.  SOUNDNESS R663.
#
# WHY THIS FILE EXISTS.  R662 measured what a month of soundness work changed for a user, over
# "1,626 crates" — which were not a corpus at all, but whatever `cargo` happened to have
# downloaded into this laptop's registry cache.  Nothing owned it, nothing pinned it, and it does
# not exist on the second machine, so THE HEADLINE MEASUREMENT OF THE PROJECT WAS UNREPEATABLE.
# An instrument whose input is an accident produces a number nobody can check.
#
# This is NOT the oracle roster in corpus.sh.  That one is four checkouts chosen for the SHAPES
# they expose (see its comments — sqlite-jdbc is there for one filter, axios for one .d.ts case).
# This one is chosen for SCALE, so a percentage has a denominator.  Keep both; they answer
# different questions and a census over four curated projects would be worthless.
#
# name<TAB>version.  Acquire with: bash bin/corpus-census.sh rust
# Snapshotted 2026-09-25 from the registry that produced R662, so that census is reproducible.
hickory-resolver	0.26.1
hickory-resolver	0.26.2
hickory-resolver	0.26.3
hkdf	0.12.4
hkdf	0.13.0
hmac	0.12.1
hmac	0.13.0
home	0.5.12
hostname	0.4.2
http	0.2.12
http	1.5.0
http-body	0.4.6
http-body	1.1.0
http-body-util	0.1.5
httparse	1.10.1
httpdate	1.0.3
hybrid-array	0.4.14
hybrid-array	0.4.15
hyper	0.14.32
hyper	1.11.0
hyper	1.11.1
hyper-rustls	0.27.10
hyper-rustls	0.27.9
hyper-timeout	0.5.2
hyper-tls	0.5.0
hyper-tls	0.6.0
hyper-util	0.1.20
iana-time-zone	0.1.65
iana-time-zone-haiku	0.1.2
icu_collections	2.2.0
icu_collections	2.3.0
icu_locale_core	2.2.0
icu_locale_core	2.3.0
icu_normalizer	2.2.0
icu_normalizer	2.3.0
icu_normalizer_data	2.2.0
icu_normalizer_data	2.3.0
icu_properties	2.2.0
icu_properties	2.3.0
icu_properties_data	2.2.0
icu_properties_data	2.3.0
icu_provider	2.2.0
icu_provider	2.3.1
id-arena	2.3.0
ident_case	1.0.1
idna	1.1.0
idna_adapter	1.2.2
ignore	0.4.33
image	0.25.10
indexmap	1.9.3
indexmap	2.13.0
indexmap	2.13.1
indexmap	2.14.0
indexmap	2.14.1
indexmap	2.14.2
indoc	2.0.7
inherent	1.0.14
inotify	0.11.5
inotify	0.9.6
inotify-sys	0.1.8
inout	0.1.4
inout	0.2.2
instability	0.3.13
instability	0.3.14
instant	0.1.13
io-enum	1.2.1
io-extras	0.18.4
io-lifetimes	1.0.11
io-lifetimes	2.0.4
ioctl-rs	0.1.6
ipconfig	0.3.4
ipnet	2.12.0
ipnet	2.12.1
ipnet	2.12.2
ipnetwork	0.20.0
is_terminal_polyfill	1.70.2
is-terminal	0.4.17
isahc	1.8.3
isahc	2.0.1
itertools	0.10.5
itertools	0.13.0
itertools	0.14.0
itoa	1.0.10
itoa	1.0.15
itoa	1.0.17
itoa	1.0.18
jiff	0.2.28
jiff	0.2.35
jiff	0.2.37
jiff-core	0.1.0
jiff-core	0.1.1
jiff-static	0.2.28
jiff-static	0.2.35
jiff-static	0.2.37
jiff-tzdb	0.1.8
jiff-tzdb-platform	0.1.3
jni	0.22.4
jni-macros	0.22.4
jni-sys	0.4.1
jni-sys-macros	0.4.1
jobserver	0.1.34
jobserver	0.1.35
js-sys	0.3.102
js-sys	0.3.104
js-sys	0.3.105
js-sys	0.3.68
js-sys	0.3.91
js-sys	0.3.98
kasuari	0.4.12
keyed_priority_queue	0.4.2
kqueue	1.2.1
kqueue-sys	1.1.2
kv-log-macro	1.0.7
lab	0.11.0
lapin	2.5.5
lapin	4.10.0
lapin	4.11.0
lapin	4.12.0
lazy_static	1.5.0
leb128fmt	0.1.0
lettre	0.11.23
lexical-core	1.0.6
lexical-parse-float	1.0.6
lexical-parse-integer	1.0.6
lexical-util	1.0.7
lexical-write-float	1.0.6
lexical-write-integer	1.0.6
libc	0.2.174
libc	0.2.176
libc	0.2.182
libc	0.2.183
libc	0.2.184
libc	0.2.186
libc	0.2.189
libgit2-sys	0.17.0+1.8.1
libgit2-sys	0.18.4+1.9.3
libgit2-sys	0.18.8+1.9.7
libloading	0.8.9
libm	0.2.16
libnghttp2-sys	0.1.13+1.68.1
libredox	0.1.17
libredox	0.1.20
libredox	0.1.21
libredox	0.1.23
libredox	0.1.24
libredox	0.1.25
libsqlite3-sys	0.30.1
libsqlite3-sys	0.37.0
libsqlite3-sys	0.38.2
libssh2-sys	0.3.1
libssh2-sys	0.3.2
libz-sys	1.1.28
libz-sys	1.1.29
line-clipping	0.3.8
linux-raw-sys	0.12.1
linux-raw-sys	0.3.8
linux-raw-sys	0.4.13
linux-raw-sys	0.4.15
litemap	0.8.2
litemap	0.8.3
litrs	1.0.0
lock_api	0.4.14
log	0.4.19
log	0.4.20
log	0.4.29
log	0.4.30
log	0.4.33
log	0.4.34
lru	0.12.5
lru	0.16.4
lru	0.18.2
lru	0.18.3
lru	0.18.4
lru	0.18.5
lru-slab	0.1.2
lru-slab	0.1.3
lscolors	0.20.0
lscolors	0.21.0
lzma-sys	0.1.20
mac_address	1.1.8
macro_magic	0.5.1
macro_magic_core	0.5.1
macro_magic_core_macros	0.5.1
macro_magic_macros	0.5.1
macro_rules_attribute	0.2.3
macro_rules_attribute-proc_macro	0.2.3
manyhow	0.11.4
manyhow-macros	0.11.4
matches	0.1.10
matchit	0.7.3
matchit	0.8.4
maybe-owned	0.3.4
md-5	0.10.6
md-5	0.11.0
memchr	2.5.0
memchr	2.7.1
memchr	2.8.0
memchr	2.8.1
memchr	2.8.2
memchr	2.8.3
memmap2	0.9.11
memmem	0.1.1
memoffset	0.6.5
memoffset	0.9.1
mime	0.3.17
mime_guess	2.0.5
minimal-lexical	0.2.1
miniz_oxide	0.8.9
miniz_oxide	0.9.1
minreq	2.14.1
mio	0.8.11
mio	1.2.2
mio	1.2.3
miow	0.6.1
moka	0.12.16
mongocrypt	0.4.0
mongocrypt-sys	0.1.6+1.18.2
mongodb	3.8.1
mongodb	3.8.2
mongodb	3.9.0
mongodb	3.9.1
mongodb-internal-macros	3.8.1
mongodb-internal-macros	3.8.2
mongodb-internal-macros	3.9.0
mongodb-internal-macros	3.9.1
moxcms	0.8.1
multiversion	0.8.0
multiversion	0.9.0
multiversion_no_op	1.0.0
multiversion-macros	0.8.0
multiversion-macros	0.9.0
munge	0.4.7
munge_macro	0.4.7
mysql	25.0.1
mysql	28.0.0
mysql	28.0.2
mysql_async	0.34.2
mysql_async	0.37.0
mysql_async	0.37.1
mysql_common	0.32.4
mysql_common	0.37.3
mysql-common-derive	0.31.2
mysql-common-derive	0.32.2
mysqlclient-sys	0.5.2
named_pipe	0.4.1
native-tls	0.2.18
ndk-context	0.1.1
nix	0.25.1
nix	0.28.0
nix	0.29.0
nix	0.31.3
nkeys	0.4.5
no-std-net	0.6.0
nom	7.1.3
nom	8.0.0
normalize-line-endings	0.3.0
notify	6.1.1
notify	8.2.0
notify-types	2.1.0
nu-ansi-term	0.50.3
nuid	0.5.0
num_cpus	1.17.0
num_enum	0.7.6
num_enum_derive	0.7.6
num_threads	0.1.7
num-bigint	0.4.8
num-bigint	0.5.1
num-bigint-dig	0.8.6
num-complex	0.4.6
num-conv	0.2.2
num-derive	0.4.2
num-integer	0.1.47
num-iter	0.1.46
num-traits	0.2.18
num-traits	0.2.19
objc2	0.6.4
objc2-app-kit	0.3.2
objc2-core-foundation	0.3.2
objc2-core-graphics	0.3.2
objc2-encode	4.1.0
objc2-foundation	0.3.2
objc2-io-surface	0.3.2
objc2-system-configuration	0.3.2
object	0.37.3
oid-registry	0.8.1
once_cell	1.21.3
once_cell	1.21.4
once_cell_polyfill	1.70.2
oorandom	11.1.3
oorandom	11.1.5
openssl	0.10.81
openssl-macros	0.1.1
openssl-probe	0.1.6
openssl-probe	0.2.1
openssl-sys	0.9.116
openssl-sys	0.9.117
ordered-float	4.6.0
os_pipe	1.2.3
ouroboros	0.18.5
ouroboros_macro	0.18.5
outref	0.5.2
p12-keystore	0.1.5
p12-keystore	0.2.1
page_size	0.6.0
palette	0.7.7
palette_derive	0.7.7
palette_math	0.7.7
parking	2.2.1
parking_lot	0.12.5
parking_lot_core	0.9.12
password-hash	0.5.0
password-hash	0.6.1
paste	1.0.15
pastey	0.2.3
pbkdf2	0.12.2
pbkdf2	0.13.0
pem	3.0.6
pem-rfc7468	0.7.0
pem-rfc7468	1.0.0
percent-encoding	2.3.2
pest	2.9.0
pest	2.9.1
pest	2.9.2
pest_derive	2.9.0
pest_derive	2.9.1
pest_derive	2.9.2
pest_generator	2.9.0
pest_generator	2.9.1
pest_generator	2.9.2
pest_meta	2.9.0
pest_meta	2.9.1
pest_meta	2.9.2
pgvector	0.4.2
phc	0.6.1
phf	0.11.3
phf	0.13.1
phf_codegen	0.11.3
phf_generator	0.11.3
phf_macros	0.11.3
phf_shared	0.11.3
phf_shared	0.13.1
pin-project	1.1.13
pin-project-internal	1.1.13
pin-project-lite	0.2.17
pin-utils	0.1.0
pinky-swear	6.2.1
piper	0.2.5
pkcs1	0.7.5
pkcs12	0.1.0
pkcs5	0.7.1
pkcs8	0.10.2
pkg-config	0.3.33
pkg-config	0.3.34
plain	0.2.3
plotters	0.3.5
plotters	0.3.7
plotters-backend	0.3.5
plotters-backend	0.3.7
plotters-svg	0.3.5
plotters-svg	0.3.7
pluralizer	0.5.0
pnet	0.35.0
pnet_base	0.35.0
pnet_datalink	0.35.0
pnet_macros	0.35.0
pnet_macros_support	0.35.0
pnet_packet	0.35.0
pnet_sys	0.35.0
pnet_transport	0.35.0
png	0.18.1
polling	2.8.0
polling	3.11.0
portable-atomic	1.13.1
portable-atomic	1.15.0
portable-atomic-util	0.2.7
portable-atomic-util	0.2.8
portable-pty	0.8.1
portable-pty	0.9.0
postgres	0.19.14
postgres-protocol	0.6.12
postgres-types	0.2.14
potential_utf	0.1.5
potential_utf	0.1.6
powerfmt	0.2.0
ppv-lite86	0.2.17
ppv-lite86	0.2.21
pq-sys	0.7.5
prefix-trie	0.8.4
prettyplease	0.2.37
proc-macro-crate	3.5.0
proc-macro-error-attr2	2.0.0
proc-macro-error2	2.0.1
proc-macro-utils	0.10.0
proc-macro2	1.0.101
proc-macro2	1.0.103
proc-macro2	1.0.106
proc-macro2	1.0.107
proc-macro2	1.0.63
proc-macro2	1.0.86
proc-macro2	1.0.89
proc-macro2	1.0.95
proc-macro2-diagnostics	0.10.1
proptest	1.11.0
proptest	1.9.0
prost	0.13.5
psm	0.1.31
ptr_meta	0.1.4
ptr_meta	0.3.1
ptr_meta_derive	0.1.4
ptr_meta_derive	0.3.1
pxfm	0.1.30
quick-error	1.2.3
quick-error	2.0.1
quickcheck	1.1.0
quinn	0.11.11
quinn	0.11.12
quinn-proto	0.11.17
quinn-proto	0.11.18
quinn-udp	0.5.15
quote	1.0.29
quote	1.0.35
quote	1.0.36
quote	1.0.40
quote	1.0.41
quote	1.0.44
quote	1.0.45
quote	1.0.46
quote	1.0.47
quoted_printable	0.5.2
r-efi	5.3.0
r-efi	6.0.0
radium	0.7.0
rancor	0.1.1
rand	0.10.0
rand	0.10.2
rand	0.10.3
rand	0.8.5
rand	0.8.6
rand	0.8.8
rand	0.9.1
rand	0.9.2
rand	0.9.4
rand	0.9.5
